FID,name,code,ID
0,Afghanistan,1142034004,1142034004001.000000000000000
1,Angola,1002017024,1002017024002.000000000000000
2,Albania,1150039008,1150039008003.000000000000000
3,United Arab Emirates,1142145784,1142145784004.000000000000000
4,Argentina,1019005032,1019005032005.000000000000000
5,Armenia,1142145051,1142145051006.000000000000000
6,Australia,1009053036,1009053036008.000000000000000
7,Austria,1150155040,1150155040009.000000000000000
8,Azerbaijan,1142145031,1142145031010.000000000000000
9,Burundi,1002014108,1002014108011.000000000000000
10,Belgium,1150155056,1150155056012.000000000000000
11,Benin,1002011204,1002011204013.000000000000000
12,Burkina Faso,1002011854,1002011854014.000000000000000
13,Bangladesh,1142034050,1142034050015.000000000000000
14,Bulgaria,1150151100,1150151100016.000000000000000
15,Bahamas,1019029044,1019029044017.000000000000000
16,Bosnia and Herz.,1150039070,1150039070018.000000000000000
17,Belarus,1150151112,1150151112019.000000000000000
18,Belize,1019013084,1019013084020.000000000000000
19,Bolivia,1019005068,1019005068021.000000000000000
20,Brazil,1019005076,1019005076022.000000000000000
21,Brunei,1142035096,1142035096023.000000000000000
22,Bhutan,1142034064,1142034064024.000000000000000
23,Botswana,1002018072,1002018072025.000000000000000
24,Central African Rep.,1002017140,1002017140026.000000000000000
25,Switzerland,1150155756,1150155756028.000000000000000
26,Chile,1019005152,1019005152029.000000000000000
27,China,1142030156,1142030156030.000000000000000
28,C̫te d'Ivoire,1002011384,1002011384031.000000000000000
29,Cameroon,1002017120,1002017120032.000000000000000
30,Dem. Rep. Congo,1002017180,1002017180033.000000000000000
31,Congo,1002017178,1002017178034.000000000000000
32,Colombia,1019005170,1019005170035.000000000000000
33,Costa Rica,1019013188,1019013188036.000000000000000
34,Cuba,1019029192,1019029192037.000000000000000
35,Czech Rep.,1150151203,1150151203040.000000000000000
36,Germany,1150155276,1150155276041.000000000000000
37,Djibouti,1002014262,1002014262042.000000000000000
38,Denmark,1150154208,1150154208043.000000000000000
39,Dominican Rep.,1019029214,1019029214044.000000000000000
40,Algeria,1002015012,1002015012045.000000000000000
41,Ecuador,1019005218,1019005218046.000000000000000
42,Egypt,1002015818,1002015818047.000000000000000
43,Eritrea,1002014232,1002014232048.000000000000000
44,Spain,1150039724,1150039724049.000000000000000
45,Estonia,1150154233,1150154233050.000000000000000
46,Ethiopia,1002014231,1002014231051.000000000000000
47,Finland,1150154246,1150154246052.000000000000000
48,France,1150155250,1150155250055.000000000000000
49,Gabon,1002017266,1002017266056.000000000000000
50,United Kingdom,1150154826,1150154826057.000000000000000
51,Georgia,1142145268,1142145268058.000000000000000
52,Ghana,1002011288,1002011288059.000000000000000
53,Guinea,1002011324,1002011324060.000000000000000
54,Gambia,1002011270,1002011270061.000000000000000
55,Guinea-Bissau,1002011624,1002011624062.000000000000000
56,Eq. Guinea,1002017226,1002017226063.000000000000000
57,Greece,1150039300,1150039300064.000000000000000
58,Greenland,1019021304,1019021304065.000000000000000
59,Guatemala,1019013320,1019013320066.000000000000000
60,Guyana,1019005328,1019005328067.000000000000000
61,Honduras,1019013340,1019013340068.000000000000000
62,Croatia,1150039191,1150039191069.000000000000000
63,Haiti,1019029332,1019029332070.000000000000000
64,Hungary,1150151348,1150151348071.000000000000000
65,Indonesia,1142035360,1142035360072.000000000000000
66,India,1142034356,1142034356073.000000000000000
67,Ireland,1150154372,1150154372074.000000000000000
68,Iran,1142034364,1142034364075.000000000000000
69,Iraq,1142145368,1142145368076.000000000000000
70,Iceland,1150154352,1150154352077.000000000000000
71,Israel,1142145376,1142145376078.000000000000000
72,Italy,1150039380,1150039380079.000000000000000
73,Jamaica,1019029388,1019029388080.000000000000000
74,Jordan,1142145400,1142145400081.000000000000000
75,Japan,1142030392,1142030392082.000000000000000
76,Kazakhstan,1142143398,1142143398083.000000000000000
77,Kenya,1002014404,1002014404084.000000000000000
78,Kyrgyzstan,1142143417,1142143417085.000000000000000
79,Cambodia,1142035116,1142035116086.000000000000000
80,Korea,1142030410,1142030410087.000000000000000
81,Kuwait,1142145414,1142145414089.000000000000000
82,Lao PDR,1142035418,1142035418090.000000000000000
83,Lebanon,1142145422,1142145422091.000000000000000
84,Liberia,1002011430,1002011430092.000000000000000
85,Libya,1002015434,1002015434093.000000000000000
86,Sri Lanka,1142034144,1142034144094.000000000000000
